"periodo_mens","expo_valor","media_movil","registros"
"2016-08-01",11034443,22546752.833333333333,12
"2016-09-01",7867529,22291512.166666666667,12
"2016-10-01",8909991,22351270.833333333333,12
"2016-11-01",9087664,22500846.666666666667,12
"2016-12-01",6166673,22508628.000000000000,12
"2017-01-01",9325663,22773858.416666666667,12
"2017-02-01",59068327,24066718.416666666667,12
"2017-03-01",52602024,22715946.500000000000,12
"2017-04-01",41762799,22231212.750000000000,12
"2017-05-01",26286156,21827760.666666666667,12
"2017-06-01",17795342,22012486.500000000000,12
"2017-07-01",14145095,22004308.833333333333,12
"2017-08-01",9634515,21887648.166666666667,12
"2017-09-01",7058344,21820216.083333333333,12
"2017-10-01",6615031,21628969.416666666667,12
"2017-11-01",7818643,21523217.666666666667,12
"2017-12-01",4859695,21414302.833333333333,12
"2018-01-01",9831440,21456450.916666666667,12
"2018-02-01",61492424,21658459.000000000000,12
"2018-03-01",75425820,23560442.000000000000,12
"2018-04-01",40104019,23422210.333333333333,12
"2018-05-01",29167454,23662318.500000000000,12
"2018-06-01",15995478,23512329.833333333333,12
"2018-07-01",12432013,23369573.000000000000,12
"2018-08-01",10905089,23475454.166666666667,12
"2018-09-01",8570684,23601482.500000000000,12
"2018-10-01",9578285,23848420.333333333333,12
"2018-11-01",6497834,23738352.916666666667,12
"2018-12-01",6336271,23861400.916666666667,12
"2019-01-01",5975679,23540087.500000000000,12
"2019-02-01",46924180,22326067.166666666667,12
"2019-03-01",46371675,19904888.416666666667,12
"2019-04-01",34279734,19419531.333333333333,12
"2019-05-01",25990253,19154764.583333333333,12
"2019-06-01",15870487,19144348.666666666667,12
"2019-07-01",14284439,19298717.500000000000,12
"2019-08-01",12133249,19401064.166666666667,12
"2019-09-01",8936759,19431570.416666666667,12
"2019-10-01",7380787,19248445.583333333333,12
"2019-11-01",8769610,19437760.250000000000,12
"2019-12-01",4963142,19323332.833333333333,12
"2020-01-01",7423954,19444022.416666666667,12
"2020-02-01",50093236,19708110.416666666667,12
"2020-03-01",56800537,20577182.250000000000,12
"2020-04-01",30957215,20300305.666666666667,12
"2020-05-01",23433215,20087219.166666666667,12
"2020-06-01",17324149,20208357.666666666667,12
"2020-07-01",13020305,20103013.166666666667,12
"2020-08-01",12169969,20106073.166666666667,12
"2020-09-01",10275069,20217599.000000000000,12
"2020-10-01",10891290,20510140.916666666667,12
"2020-11-01",8235320,20465616.750000000000,12
"2020-12-01",4432237,20421374.666666666667,12
"2021-01-01",10314000,20662211.833333333333,12
"2021-02-01",40160000,19834442.166666666667,12
"2021-03-01",42638000,18654230.750000000000,12
"2021-04-01",31647000,18711712.833333333333,12
"2021-05-01",28642000,19145778.250000000000,12
"2021-06-01",16377000,19066849.166666666667,12
"2021-07-01",11344000,18927157.083333333333,12
"2021-08-01",9582000,18711493.000000000000,12
"2021-09-01",7786000,18504070.583333333333,12
"2021-10-01",7043000,18183379.750000000000,12
"2021-11-01",5745000,17975853.083333333333,12
"2021-12-01",4879000,18013083.333333333333,12
"2022-01-01",7132000,17747916.666666666667,12
"2022-02-01",44235000,18087500.000000000000,12
